ingredient_name,aliases,allergen_category,source,plain_explanation,verified
"drizzle (sugar, palm oil, palm kernel oil, maltodextrin, nonfat dry milk, color [yellow 6 lake, yellow 5 lake, blue 2 lake], soy lecithin, soybean oil, natural and artificial flavo",drizzle | palm oil | palm kernel oil | maltodextrin | nonfat dry milk | color | yellow 6 lake | yellow 5 lake | drizzle sugar palm oil palm kernel oil maltodextrin nonfat dry milk color yellow 6 lake yellow 5 lake blue 2 lake soy lecithin soybean oil natural and artificial flavo,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
roasted peanuts [peanuts,roasted peanuts | peanuts | roasted peanuts peanuts,peanut,allergies_10k.csv,Label phrase associated with peanut allergy risk in food-ingredient datasets.,false
yogurt: cultured pasteurized nonfat milk,yogurt cultured pasteurized nonfat milk,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
whole grain white whole wheat flour,whole-grain-white-whole-wheat-flour | wholegrainwhitewholewheatflour,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"wheat free tamari (water, whole soybeans, salt, vinegar)",wheat free tamari | whole soybeans | vinegar | wheat free tamari water whole soybeans salt vinegar,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
chocolate cake pieces [unbleached unenriched wheat flour,chocolate cake pieces | unbleached unenriched wheat flour | chocolate cake pieces unbleached unenriched wheat flour,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"flour (bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid)",flour | bleached wheat flour | malted barley flour | niacin | iron | thiamin mononitrate | riboflavin | folic acid | flour bleached wheat flour malted barley flour niacin iron thiamin mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
dried sardine extract,dried-sardine-extract | driedsardineextract,fish,allergies_10k.csv,Label phrase associated with fish allergy risk in food-ingredient datasets.,false
"tomato puree (water, tomato paste, onions, celery, spinach, salt, soybean oil, romano cheese (made from pasteurized cows milk, cheese culture, salt and enzymes, corn starch, and ce",tomato puree | tomato paste | onions | celery | spinach | soybean oil | romano cheese | made from pasteurized cows milk | tomato puree water tomato paste onions celery spinach salt soybean oil romano cheese made from pasteurized cows milk cheese culture salt and enzymes corn starch and ce,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"romano cheese (pasteurized cow's milk, cheese cultures, salt, enzymes)",romano cheese | pasteurized cow's milk | cheese cultures | enzymes | romano cheese pasteurized cow s milk cheese cultures salt enzymes,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"2 % or less of butter (pasteurized cream, salt)",2 % or less of butter | pasteurized cream | 2 or less of butter pasteurized cream salt,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto [vegetable color], potato starch and powdered cellulose added to prevent caking)",cheddar cheese | pasteurized milk | cheese culture | enzymes | annatto | vegetable color | potato starch | powdered cellulose added to prevent caking | cheddar cheese pasteurized milk cheese culture salt enzymes annatto vegetable color potato starch and powdered cellulose added to prevent caking,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"mozzarella cheese blend: low moisture part-skim mozzarella cheese (pasteurized milk, cultures, salt, enzymes)",pasteurized milk | cultures | enzymes | mozzarella cheese blend low moisture part skim mozzarella cheese pasteurized milk cultures salt enzymes,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"less than 2% of: cooked vegetables (carrot, onion, celery)",less than 2% of: cooked vegetables | carrot | onion | celery | less than 2 of cooked vegetables carrot onion celery,celery,allergies_10k.csv,Label phrase associated with celery allergy risk in food-ingredient datasets.,false
"sour cream powder (sour cream [cream cultures, lactic acid], cultured nonfat milk solids, citric acid)",sour cream powder | sour cream | cream cultures | lactic acid | cultured nonfat milk solids | citric acid | sour cream powder sour cream cream cultures lactic acid cultured nonfat milk solids citric acid,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"contains 2% or less of each of the following: enriched wheat flour (wheat flour [enriched with niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid], salt, soybean",wheat flour | enriched | niacin | ferrous sulfate | thiamine mononitrate | riboflavin | folic acid | soybean | contains 2 or less of each of the following enriched wheat flour wheat flour enriched with niacin ferrous sulfate thiamine mononitrate riboflavin folic acid salt soybean,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"cottage cheese (grade a skim milk, cream, contains less than 2% of the following: salt, guar gum, calcium sulfate, locust bean gum, carrageenan, mono and diglycerides, sodium and m",cottage cheese | grade a skim milk | cream | guar gum | calcium sulfate | locust bean gum | carrageenan | mono | cottage cheese grade a skim milk cream contains less than 2 of the following salt guar gum calcium sulfate locust bean gum carrageenan mono and diglycerides sodium and m,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"semisweet chocolate chips (sugar, chocolate liquor, cocoa butter, dextrose, soy lecithin, natural flavor)",semisweet chocolate chips | chocolate liquor | cocoa butter | dextrose | soy lecithin | natural flavor | semisweet chocolate chips sugar chocolate liquor cocoa butter dextrose soy lecithin natural flavor,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"lemon cream cheese (52%): mascarpone (cream (milk), water, milk proteins, cornflour, sea salt, lactic starter culture)",lemon cream cheese | : mascarpone | cream | milk | milk proteins | cornflour | sea salt | lactic starter culture | lemon cream cheese 52 mascarpone cream milk water milk proteins cornflour sea salt lactic starter culture,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"seasoning (salt, dehydrated onion, dextrose, sour cream (cream, nonfat milk, cultures), cultured nonfat milk, evaporated cane sugar, yeast extract, lactic acid, dehydrated garlic,",seasoning | dehydrated onion | dextrose | sour cream | cream | nonfat milk | cultures | cultured nonfat milk | seasoning salt dehydrated onion dextrose sour cream cream nonfat milk cultures cultured nonfat milk evaporated cane sugar yeast extract lactic acid dehydrated garlic,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
pasteurized whey,pasteurized-whey | pasteurizedwhey,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"cookie: enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, vegetable oil (palm), sodium bicarbonate, natural and artificial flavor, sa",cookie: enriched flour | wheat flour | niacin | reduced iron | thiamine mononitrate | riboflavin | folic acid | vegetable oil | cookie enriched flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid vegetable oil palm sodium bicarbonate natural and artificial flavor sa,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"enriched pasta: [durum flour (niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid)]; sauce: whey",enriched pasta: | durum flour | niacin | ferrous sulfate | thiamine mononitrate | riboflavin | folic acid | sauce: whey | enriched pasta durum flour niacin ferrous sulfate thiamine mononitrate riboflavin folic acid sauce whey,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"flavor base {sweetened condensed whole milk (whole milk, sugar)",flavor base {sweetened condensed whole milk | whole milk | flavor base sweetened condensed whole milk whole milk sugar,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"texturized vegetable protein (textured soy flour, soybean oil, salt, autolyzed yeast extract, hydrolyzed corn protein, natural smoke flavoring, thiamine hydrochloride, dextrose, di",texturized vegetable protein | textured soy flour | soybean oil | autolyzed yeast extract | hydrolyzed corn protein | natural smoke flavoring | thiamine hydrochloride | dextrose | texturized vegetable protein textured soy flour soybean oil salt autolyzed yeast extract hydrolyzed corn protein natural smoke flavoring thiamine hydrochloride dextrose di,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"vegetable oil (contains one or more of the following: cottonseed, corn sunflower, soybean)",vegetable oil | corn sunflower | soybean | vegetable oil contains one or more of the following cottonseed corn sunflower soybean,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
organic expeller pressed soy lecithin,organic-expeller-pressed-soy-lecithin | organicexpellerpressedsoylecithin,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"cake crunch (bleached wheat flour, sugar, palm oil, caramel color, cocoa, sodium bicarbonate, salt, artificial flavor, soy lecithin)",cake crunch | bleached wheat flour | palm oil | caramel color | cocoa | sodium bicarbonate | artificial flavor | soy lecithin | cake crunch bleached wheat flour sugar palm oil caramel color cocoa sodium bicarbonate salt artificial flavor soy lecithin,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"cream cheese (pasteurized milk and cream, cheese culture, salt, stabilizer blend [carob bean, xanthan, guar gums])",cream cheese | pasteurized milk | cream | cheese culture | stabilizer blend | carob bean | xanthan | guar gums | cream cheese pasteurized milk and cream cheese culture salt stabilizer blend carob bean xanthan guar gums,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"white chocolate (sugar, cocoa butter, milk, skim milk, soy lecithin, natural flavor)",white chocolate | cocoa butter | milk | skim milk | soy lecithin | natural flavor | white chocolate sugar cocoa butter milk skim milk soy lecithin natural flavor,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
fresh whitefish,fresh-whitefish | freshwhitefish,fish,allergies_10k.csv,Label phrase associated with fish allergy risk in food-ingredient datasets.,false
"seasoning (salt, buttermilk, natural flavors, coconut oil, maltodextrin, garlic powder, yeast extract, sour cream [cream, nonfat milk, cultures], dextrose, onion powder, tomato pow",seasoning | buttermilk | natural flavors | coconut oil | maltodextrin | garlic powder | yeast extract | sour cream | seasoning salt buttermilk natural flavors coconut oil maltodextrin garlic powder yeast extract sour cream cream nonfat milk cultures dextrose onion powder tomato pow,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"bread crumbs (whole wheat flour, yeast, sugar, salt)",bread crumbs | whole wheat flour | yeast | bread crumbs whole wheat flour yeast sugar salt,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"dehydrated garlic parmesan cheese (pasteurized milk, salt, powdered cellulose (as an anticaking agent), lipase, microbial enzyme, bacterial culture, natamycin)",dehydrated garlic parmesan cheese | pasteurized milk | powdered cellulose | as an anticaking agent | lipase | microbial enzyme | bacterial culture | natamycin | dehydrated garlic parmesan cheese pasteurized milk salt powdered cellulose as an anticaking agent lipase microbial enzyme bacterial culture natamycin,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
contains 2% or less of the following: butter (cream),cream | contains 2 or less of the following butter cream,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"enriched macaroni product [(wheat flour, niacin, iron [ferrous sulfate], thiamine mononitrate, riboflavin, folic acid)",enriched macaroni product | wheat flour | niacin | iron | ferrous sulfate | thiamine mononitrate | riboflavin | folic acid | enriched macaroni product wheat flour niacin iron ferrous sulfate thiamine mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"doughnut (enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, palm oil, soybean oil, sugar. contains 2% or less of each o",doughnut | enriched wheat flour | wheat flour | niacin | reduced iron | thiamine mononitrate | riboflavin | folic acid | doughnut enriched wheat flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid water palm oil soybean oil sugar contains 2 or less of each o,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"roasted garlic base (roasted garlic, salt, corn maltodextrin, natural flavorings, cornstarch, canola oil, sesame oil)",roasted garlic base | roasted garlic | corn maltodextrin | natural flavorings | cornstarch | canola oil | sesame oil | roasted garlic base roasted garlic salt corn maltodextrin natural flavorings cornstarch canola oil sesame oil,sesame,allergies_10k.csv,Label phrase associated with sesame allergy risk in food-ingredient datasets.,false
"turkey flavor (contains turkey fat, lactose [milk])",turkey flavor | contains turkey fat | lactose | milk | turkey flavor contains turkey fat lactose milk,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"margarine (palm oil, soybean oil, water, salt, contains less than 2% of each of mono & diglycerides, soy lecithin, citric acid, natural flavor, vitamin a palmitate, vitamin d3)",margarine | palm oil | soybean oil | soy lecithin | citric acid | natural flavor | vitamin a palmitate | vitamin d3 | margarine palm oil soybean oil water salt contains less than 2 of each of mono diglycerides soy lecithin citric acid natural flavor vitamin a palmitate vitamin d3,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
fancy grade cashews,fancy-grade-cashews | fancygradecashews,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
cabernet wine (contains sulfites),cabernet wine | contains sulfites | cabernet wine contains sulfites,sulphites,allergies_10k.csv,Label phrase associated with sulphites allergy risk in food-ingredient datasets.,false
cheeses [low moisture part skim mozzarella,cheeses | low moisture part skim mozzarella | cheeses low moisture part skim mozzarella,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"sea salted roasted cashews (cashews, peanut and/or cottonseed oil, sea salt)",sea salted roasted cashews | cashews | peanut and | or cottonseed oil | sea salt | sea salted roasted cashews cashews peanut and or cottonseed oil sea salt,peanut,allergies_10k.csv,Label phrase associated with peanut allergy risk in food-ingredient datasets.,false
"milk chocolate (sugar, cocoa butter, dry whole milk, chocolate liquor, nonfat dry milk, soy lecithin, natural vanilla flavor)",milk chocolate | cocoa butter | dry whole milk | chocolate liquor | nonfat dry milk | soy lecithin | natural vanilla flavor | milk chocolate sugar cocoa butter dry whole milk chocolate liquor nonfat dry milk soy lecithin natural vanilla flavor,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"vegetable oil (soybean oil, cottonseed oil and/or canola oil)",vegetable oil | soybean oil | cottonseed oil and | or canola oil | vegetable oil soybean oil cottonseed oil and or canola oil,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"ricotta cheese (whey. milk, culture, salt, citric acid)",ricotta cheese | whey. milk | culture | citric acid | ricotta cheese whey milk culture salt citric acid,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"pretzel dough: enriched bleached wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid)",pretzel dough: enriched bleached wheat flour | wheat flour | malted barley flour | niacin | reduced iron | thiamine mononitrate | riboflavin | folic acid | pretzel dough enriched bleached wheat flour wheat flour malted barley flour niacin reduced iron thiamine mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"enriched pasta (wheat flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin and folic acid)",enriched pasta | wheat flour | niacin | ferrous sulfate | thiamine mononitrate | riboflavin | folic acid | enriched pasta wheat flour niacin ferrous sulfate thiamine mononitrate riboflavin and folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"romano cheese (made from 100% pasteurized sheep's milk, bacterial culture, salt, rennet)",romano cheese | made from 100% pasteurized sheep's milk | bacterial culture | rennet | romano cheese made from 100 pasteurized sheep s milk bacterial culture salt rennet,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"gravy (water, modified corn starch, wheat flour, salt, maltodextrin, monosodium glutamate, beef fat, chicken fat, corn syrup solids, sugar, caramel color, pork stock, onion powder,",gravy | modified corn starch | wheat flour | maltodextrin | monosodium glutamate | beef fat | chicken fat | corn syrup solids | gravy water modified corn starch wheat flour salt maltodextrin monosodium glutamate beef fat chicken fat corn syrup solids sugar caramel color pork stock onion powder,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"cookie mix: enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid)",cookie mix: enriched wheat flour | wheat flour | malted barley flour | niacin | reduced iron | thiamine mononitrate | riboflavin | folic acid | cookie mix enriched wheat flour wheat flour malted barley flour niacin reduced iron thiamine mononitrate riboflavin folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"louis style spareribs (pork st. louis style spareribs, water, salt, sodium phosphate, soybean oil, bha, bht, propyl gallate.)",louis style spareribs | pork st. louis style spareribs | sodium phosphate | soybean oil | propyl gallate. | louis style spareribs pork st louis style spareribs water salt sodium phosphate soybean oil bha bht propyl gallate,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"seasoning (maltodextrin, dried whey, sugar, onion powder, sour cream powder [sour cream solids (cream, nonfat milk, bacterial cultures), cultured nonfat milk, citric acid], spice,",seasoning | maltodextrin | dried whey | onion powder | sour cream powder | sour cream solids | cream | nonfat milk | seasoning maltodextrin dried whey sugar onion powder sour cream powder sour cream solids cream nonfat milk bacterial cultures cultured nonfat milk citric acid spice,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
salt and barley malt whey whole rolled oats,barley malt whey whole rolled oats,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"seasoning (turbinado sugar, soy sauce powder (wheat, soybeans, salt), onion garlic, flavoring, spice)",seasoning | turbinado sugar | soy sauce powder | wheat | soybeans | onion garlic | flavoring | spice | seasoning turbinado sugar soy sauce powder wheat soybeans salt onion garlic flavoring spice,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"cream of mushroom soup seasoning (spray dried shortening [coconut oil, corn syrup solids, sodium caseinate, mono & diglycerides and sodium silicoaluminate], modified food starch, w",cream of mushroom soup seasoning | spray dried shortening | coconut oil | corn syrup solids | sodium caseinate | mono & diglycerides | sodium silicoaluminate | modified food starch | cream of mushroom soup seasoning spray dried shortening coconut oil corn syrup solids sodium caseinate mono diglycerides and sodium silicoaluminate modified food starch w,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"wafers (wheat flour, sugar, soybean and palm oil, cocoa processed with alkali, contains 2% or less of dextrose, corn syrup, caramel color, high fructose corn syrup, food starch-mod",wafers | wheat flour | soybean | palm oil | cocoa processed | alkali | contains 2% or less of dextrose | corn syrup | wafers wheat flour sugar soybean and palm oil cocoa processed with alkali contains 2 or less of dextrose corn syrup caramel color high fructose corn syrup food starch mod,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
mustard oil,mustard-oil | mustardoil,mustard,allergies_10k.csv,Label phrase associated with mustard allergy risk in food-ingredient datasets.,false
"enriched four (unbleached, wheat flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid)",enriched four | unbleached | wheat flour | niacin | reduced iron | thiamine mononitrate | vitamin b1 | riboflavin | enriched four unbleached wheat flour niacin reduced iron thiamine mononitrate vitamin b1 riboflavin vitamin b2 folic acid,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"non fat buttermilk (water, skim milk powder, corn starch, agar, pectin, culture)",non fat buttermilk | skim milk powder | corn starch | agar | pectin | culture | non fat buttermilk water skim milk powder corn starch agar pectin culture,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"batter mix (modified potato starch, wheat flour, tapioca dextrin, modified corn starch, salt, spice, garlic powder, onion powder, hot sauce [aged cayenne peppers, vinegar, salt, ga",batter mix | modified potato starch | wheat flour | tapioca dextrin | modified corn starch | spice | garlic powder | onion powder | batter mix modified potato starch wheat flour tapioca dextrin modified corn starch salt spice garlic powder onion powder hot sauce aged cayenne peppers vinegar salt ga,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"seasoning (salt, corn syrup solids, spices, hydrolyzed soy protein, lemon juice solids, natural flavor)",seasoning | corn syrup solids | spices | hydrolyzed soy protein | lemon juice solids | natural flavor | seasoning salt corn syrup solids spices hydrolyzed soy protein lemon juice solids natural flavor,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
cream cheese frosting: powdered sugar,cream cheese frosting powdered sugar,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"apple dessert (water, sugar, rehydrated apples, modified food starch, dehydrated apple flakes [calcium stearate], natural and artificial flavor [natural and artificial flavor, cara",apple dessert | rehydrated apples | modified food starch | dehydrated apple flakes | calcium stearate | artificial flavor | cara | apple dessert water sugar rehydrated apples modified food starch dehydrated apple flakes calcium stearate natural and artificial flavor natural and artificial flavor cara,egg,allergies_10k.csv,Label phrase associated with egg allergy risk in food-ingredient datasets.,false
"ingredients: crust (enriched flour (wheat flour, malted barley flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid], water, modified food starch, yeast, su",ingredients: crust | enriched flour | wheat flour | malted barley flour | niacin | ferrous sulfate | thiamine mononitrate | riboflavin | ingredients crust enriched flour wheat flour malted barley flour niacin ferrous sulfate thiamine mononitrate riboflavin folic acid water modified food starch yeast su,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"organic dark chocolate (organic chocolate liquor, organic dried cane syrup, organic cocoa butter, organic soy lecithin (emulsifier), organic vanilla extract)",organic dark chocolate | organic chocolate liquor | organic dried cane syrup | organic cocoa butter | organic soy lecithin | emulsifier | organic vanilla extract | organic dark chocolate organic chocolate liquor organic dried cane syrup organic cocoa butter organic soy lecithin emulsifier organic vanilla extract,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"hazelnut flour (hazelnuts, safflower oil, tbhq to maintain freshness)",hazelnut flour | hazelnuts | safflower oil | tbhq to maintain freshness | hazelnut flour hazelnuts safflower oil tbhq to maintain freshness,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
hazelnuts,,tree_nuts,allergies_10k.csv:token,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
organic roasted peanuts,organic-roasted-peanuts | organicroastedpeanuts,peanut,allergies_10k.csv,Label phrase associated with peanut allergy risk in food-ingredient datasets.,false
"caesar dressing (soybean oil, water, parmesan cheese [pasteurized milk, cheese cultures, salt, enzymes], egg yolks, red wine vinegar, contains less than 2% of worcestershire sauce",caesar dressing | soybean oil | parmesan cheese | pasteurized milk | cheese cultures | enzymes | egg yolks | red wine vinegar | caesar dressing soybean oil water parmesan cheese pasteurized milk cheese cultures salt enzymes egg yolks red wine vinegar contains less than 2 of worcestershire sauce,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
organic roasted pumpkin seeds,organic-roasted-pumpkin-seeds | organicroastedpumpkinseeds,tree_nuts,allergies_10k.csv,Label phrase associated with tree nuts allergy risk in food-ingredient datasets.,false
"dark chocolate (chocolate liquor, sugar, cocoa butter, soy lecithin, natural vanilla flavor)",dark chocolate | chocolate liquor | cocoa butter | soy lecithin | natural vanilla flavor | dark chocolate chocolate liquor sugar cocoa butter soy lecithin natural vanilla flavor,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
soy ginger sauce: water,soy ginger sauce water,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"vegetable oil (soybean, canola, palm and/or corn oil)",vegetable oil | soybean | canola | palm and | or corn oil | vegetable oil soybean canola palm and or corn oil,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
"beef base (roasted beef and concentrated beef stock, salt, hydrolyzed soy, corn and wheat protein, corn ol, sugar, autolyzed yeast extract, alavorings [contains oleoresin of celery",beef base | roasted beef | concentrated beef stock | hydrolyzed soy | corn | wheat protein | corn ol | autolyzed yeast extract | beef base roasted beef and concentrated beef stock salt hydrolyzed soy corn and wheat protein corn ol sugar autolyzed yeast extract alavorings contains oleoresin of celery,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"peanut butter flavored candies (peanut coating [maltitol, palm and palm kernel oil, peanut flour, nonfat milk, whey, peanuts, salt, soy lecithin, milk fat], maltitol, water, gum ac",peanut butter flavored candies | peanut coating | maltitol | palm | palm kernel oil | peanut flour | nonfat milk | whey | peanut butter flavored candies peanut coating maltitol palm and palm kernel oil peanut flour nonfat milk whey peanuts salt soy lecithin milk fat maltitol water gum ac,peanut,allergies_10k.csv,Label phrase associated with peanut allergy risk in food-ingredient datasets.,false
"milk chocolate (sugar, chocolate milk powder, soy lecithin and vanilla)",milk chocolate | chocolate milk powder | soy lecithin | vanilla | milk chocolate sugar chocolate milk powder soy lecithin and vanilla,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"italian cheese blend (mozzarella cheese [pasteurized part-skim milk, cheese cultures, salt, enzymes, potato starch, corn starch, cellulose (anti-caking agent)], parmesan cheese (pa",italian cheese blend | mozzarella cheese | pasteurized part-skim milk | cheese cultures | enzymes | potato starch | corn starch | cellulose | italian cheese blend mozzarella cheese pasteurized part skim milk cheese cultures salt enzymes potato starch corn starch cellulose anti caking agent parmesan cheese pa,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"milk chocolate flavored candy pieces (sugar, partially hydrogenated palm kernel oils, cocoa, whey, nonfat milk powder, soy lecithin, vanilla, corn syrup, gum arabic, artificial col",milk chocolate flavored candy pieces | partially hydrogenated palm kernel oils | cocoa | whey | nonfat milk powder | soy lecithin | vanilla | corn syrup | milk chocolate flavored candy pieces sugar partially hydrogenated palm kernel oils cocoa whey nonfat milk powder soy lecithin vanilla corn syrup gum arabic artificial col,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
"maraschino cherries (cherries, corn syrup, high fructose corn syrup, sugar, citric acid, natural flavor, sodium benzoate and potassium sorbate (preservatives), carrageenan, red 3,",maraschino cherries | cherries | corn syrup | high fructose corn syrup | citric acid | natural flavor | sodium benzoate | potassium sorbate | maraschino cherries cherries corn syrup high fructose corn syrup sugar citric acid natural flavor sodium benzoate and potassium sorbate preservatives carrageenan red 3,sulphites,allergies_10k.csv,Label phrase associated with sulphites allergy risk in food-ingredient datasets.,false
organic wheat grass powder,organic-wheat-grass-powder | organicwheatgrasspowder,wheat,allergies_10k.csv,Label phrase associated with wheat allergy risk in food-ingredient datasets.,false
"honey mustard dressing (mustard [distilled vinegar, water, mustard seed, salt, spices], water, soybean oil, cane sugar, white wine vinegar, honey, salt, mustard flour, dried onion,",honey mustard dressing | mustard | distilled vinegar | mustard seed | spices | soybean oil | cane sugar | white wine vinegar | honey mustard dressing mustard distilled vinegar water mustard seed salt spices water soybean oil cane sugar white wine vinegar honey salt mustard flour dried onion,soy,allergies_10k.csv,Label phrase associated with soy allergy risk in food-ingredient datasets.,false
sea clams and sea clam juice,sea clams | sea clam juice,fish,allergies_10k.csv,Label phrase associated with fish allergy risk in food-ingredient datasets.,false
butter cream,butter-cream | buttercream,milk,allergies_10k.csv,Label phrase associated with milk allergy risk in food-ingredient datasets.,false
